Category,Component,Part Number,Qty,Unit Price (USD),Mass (g),Supplier,Notes
Structure,CubeSat Frame 1.5U,CS-1_5U-AL,1,140.00,220,Custom,1.5U aluminium skeleton
Structure,PCB Spacers M3,M3-SPACER,14,0.50,7,Generic,Brass standoffs
OBC,STM32F446RE Nucleo Board,NUCLEO-F446RE,1,15.00,30,ST,Main MCU
OBC,microSD Card Module,SD-SPI,1,3.00,3,Generic,Data storage
EPS,Solar Cell 30x60mm GaAs,SC-3G30A-SM,4,35.00,40,SpectroLab,Body-mounted
EPS,18650 Li-ion Cell 3400mAh,NCR18650B,3,8.00,150,Panasonic,Battery pack (3P)
EPS,MPPT Charge Controller,SPV1040,1,5.00,2,ST,Solar charger IC
COMM,UHF Transceiver 437MHz,CC1125,1,12.00,3,TI,AX.25 compatible
COMM,UHF Antenna (deployable),DPLA-437,1,25.00,20,Custom,Quarter-wave monopole
ADCS,Magnetorquer Coil Set,MTQ-3X,3,15.00,60,Custom,Air-core coils
ADCS,Magnetometer LIS3MDL,LIS3MDLTR,1,3.50,1,ST,3-axis digital
ADCS,IMU MPU-9250,MPU-9250,1,8.00,1,InvenSense,9-DOF
Sensor,BME280 Environmental,BME280,1,4.00,1,Bosch,Temp/Press/Humidity
Sensor,TMP117 Precision Temp,TMP117,2,5.00,2,TI,±0.1°C accuracy
GNSS,u-blox MAX-M10S,MAX-M10S,1,15.00,3,u-blox,Multi-GNSS receiver
Thermal,MLI Blanket 5-layer,MLI-5L,1,30.00,20,Custom,Kapton/Mylar
Harness,Wire Harness Kit,AWG30-KIT,1,20.00,18,Custom,Kapton insulated
Payload,Payload slot,PL-SLOT,1,0.00,0,Custom,150 g headroom for experiment
,,,,TOTAL,581,,~2 kg with mass reserve for payload
